title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src,type,stars_list,genre_list,rating_norm,runtime_norm
The Santa Clause,PG,97.0,6.6,57.0,"Comedy, Drama, Family",1994.0,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, ","130,393",$144.83M,"https://m.media-amazon.com/images/M/MV5BMTZlNzk1MjItYjJlYy00MTAxLWJkNjEtZmNiNmVlNjQ4NDE5XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Tim Allen', 'Judge Reinhold', 'Wendy Crewson', 'Eric Lloyd']","['Comedy', 'Drama', 'Family']",0.6708860759493671,0.48484848484848486
White Christmas,Not Rated,120.0,7.6,56.0,"Comedy, Musical, Romance",1954.0,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen, ","48,751",$30.00M,"https://m.media-amazon.com/images/M/MV5BYjI0ZTk0ZjQtZTMzOS00NDdmLTk0YzUtZTQ4NGRkNWFhZTkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera-Ellen']","['Comedy', 'Musical', 'Romance']",0.7974683544303798,0.601010101010101
Scrooged,PG-13,101.0,6.9,38.0,"Comedy, Drama, Fantasy",1988.0,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover, ","112,793",$60.33M,"https://m.media-amazon.com/images/M/MV5BZDExMjFhYTItNmFkNC00YzQ0LWE1OGMtN2ExNGFkNWMxMjA4XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Bill Murray', 'Karen Allen', 'John Forsythe', 'John Glover']","['Comedy', 'Drama', 'Fantasy']",0.708860759493671,0.5050505050505051
Spirited,PG-13,127.0,6.6,55.0,"Comedy, Family, Musical",2022.0,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page, ","46,695",,"https://m.media-amazon.com/images/M/MV5BY2RlZGFmYjAtNGZiMi00YjQ5LWE0ZmQtZmIyM2VmMjRhMTJlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Will Ferrell', 'Ryan Reynolds', 'Octavia Spencer', 'Patrick Page']","['Comedy', 'Family', 'Musical']",0.6708860759493671,0.6363636363636364
Miracle on 34th Street,PG,114.0,6.6,,"Drama, Family, Fantasy",1994.0,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh, ","42,222",$17.19M,"https://m.media-amazon.com/images/M/MV5BZjk3M2UyN2YtNmQ1MS00MWI3LWEzNGMtYTRkM2E5MWNjOWJjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott', 'J.T. Walsh']","['Drama', 'Family', 'Fantasy']",0.6708860759493671,0.5707070707070707
Jingle All the Way,PG,89.0,5.7,34.0,"Adventure, Comedy, Family",1996.0,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, ","113,346",$60.57M,"https://m.media-amazon.com/images/M/MV5BMmJlYzViNzctMjQ1Ni00ZWQ4LThkN2YtMzI2ZGU5Nzk0NTAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Arnold Schwarzenegger', 'Sinbad', 'Phil Hartman', 'Rita Wilson']","['Adventure', 'Comedy', 'Family']",0.5569620253164558,0.4444444444444444
Klaus,PG,96.0,8.2,65.0,"Animation, Adventure, Comedy",2019.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ","178,753",,"https://m.media-amazon.com/images/M/MV5BMWYwOThjM2ItZGYxNy00NTQwLWFlZWEtM2MzM2Q5MmY3NDU5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Carlos Martínez López', 'Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']","['Animation', 'Adventure', 'Comedy']",0.8734177215189873,0.4797979797979798
A Christmas Carol,PG,96.0,6.8,55.0,"Animation, Adventure, Comedy",2009.0,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine, ","126,638",$137.86M,"https://m.media-amazon.com/images/M/MV5BMTM1MTI5ODU4MV5BMl5BanBnXkFtZTcwNTYyNTU4Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Jim Carrey', 'Gary Oldman', 'Colin Firth', 'Steve Valentine']","['Animation', 'Adventure', 'Comedy']",0.6962025316455697,0.4797979797979798
Last Christmas,PG-13,103.0,6.5,50.0,"Comedy, Drama, Fantasy",2019.0,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller, ","87,409",$35.15M,"https://m.media-amazon.com/images/M/MV5BNTQ4ZmY0NjgtYzVhNy00NzhiLTk3YTYtNzM1MTdjM2VhZDA3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Madison Ingoldsby', 'Emma Thompson', 'Boris Isakovic', 'Lucy Miller']","['Comedy', 'Drama', 'Fantasy']",0.6582278481012659,0.5151515151515151
Christmas with the Kranks,PG,99.0,5.5,22.0,"Comedy, Family",2004.0,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh, ","55,959",$73.78M,"https://m.media-amazon.com/images/M/MV5BMTQxMDMxODEwNF5BMl5BanBnXkFtZTYwNzM4OTc2._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Tim Allen', 'Jamie Lee Curtis', 'Dan Aykroyd', 'M. Emmet Walsh']","['Comedy', 'Family']",0.5316455696202532,0.494949494949495
The Santa Clause 2,G,104.0,5.7,48.0,"Comedy, Family, Fantasy",2002.0,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd, ","62,886",$139.24M,"https://m.media-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Tim Allen', 'Spencer Breslin', 'Elizabeth Mitchell', 'Eric Lloyd']","['Comedy', 'Family', 'Fantasy']",0.5569620253164558,0.5202020202020202
Miracle on 34th Street,Not Rated,96.0,7.9,88.0,"Comedy, Drama, Family",1947.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, ","53,189",$2.65M,"https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart']","['Comedy', 'Drama', 'Family']",0.8354430379746837,0.4797979797979798
Four Christmases,PG-13,88.0,5.7,41.0,"Comedy, Drama, Romance",2008.0,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall, ","78,898",$120.15M,"https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Reese Witherspoon', 'Vince Vaughn', 'Mary Steenburgen', 'Robert Duvall']","['Comedy', 'Drama', 'Romance']",0.5569620253164558,0.4393939393939394
Home Alone 3,PG,102.0,4.6,,"Action, Comedy, Crime",1997.0,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen, ","124,554",$30.88M,"https://m.media-amazon.com/images/M/MV5BZTJhYjVhOWMtYTUyOS00NWM0LThjNzYtZWYxOTkwN2FhODg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Alex D. Linz', 'Olek Krupa', 'Rya Kihlstedt', 'Lenny von Dohlen']","['Action', 'Comedy', 'Crime']",0.4177215189873418,0.51010101010101
The Muppet Christmas Carol,G,85.0,7.8,64.0,"Comedy, Drama, Family",1992.0,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ","67,536",$27.28M,"https://m.media-amazon.com/images/M/MV5BN2Y0NWRkNWItZWEwNi00MDNlLWJmZDYtNTkwYzI5Nzg4MjVjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson']","['Comedy', 'Drama', 'Family']",0.8227848101265823,0.42424242424242425
Office Christmas Party,R,105.0,5.9,42.0,Comedy,2016.0,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston, ","86,267",$54.77M,"https://m.media-amazon.com/images/M/MV5BYzgyZjE1MjUtYjFjZS00NzMzLWFmNWMtMDJjNGY0ZTgwYjc3XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Will Speck', 'Jason Bateman', 'Olivia Munn', 'T.J. Miller', 'Jennifer Aniston']",['Comedy'],0.5822784810126583,0.5252525252525253
Feast of the Seven Fishes,,99.0,6.8,68.0,Comedy,2019.0,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour, ","2,884",,"https://m.media-amazon.com/images/M/MV5BY2ZiYTA3OGMtMjBkOS00MDczLTkzODUtNDA0NGY1ZGM3M2JjXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Tony Bingham', 'Skyler Gisondo', 'Paul Ben-Victor', 'Jean Zarzour']",['Comedy'],0.6962025316455697,0.494949494949495
Bad Santa,R,92.0,7.1,70.0,"Comedy, Crime, Drama",2003.0,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ","152,299",$60.06M,"https://m.media-amazon.com/images/M/MV5BMjA4Njg1MDcwN15BMl5BanBnXkFtZTYwMzAxNjM3._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Billy Bob Thornton', 'Bernie Mac', 'Lauren Graham', 'John Ritter']","['Comedy', 'Crime', 'Drama']",0.7341772151898734,0.4595959595959596
The Christmas Chronicles,PG,104.0,7.0,52.0,"Adventure, Comedy, Family",2018.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ","81,195",,"https://m.media-amazon.com/images/M/MV5BNTA3NjU3OTM2MV5BMl5BanBnXkFtZTgwNjQ2MzE1NjM@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Kurt Russell', 'Darby Camp', 'Judah Lewis', 'Oliver Hudson']","['Adventure', 'Comedy', 'Family']",0.7215189873417722,0.5202020202020202
The Nightmare Before Christmas,PG,76.0,7.9,82.0,"Animation, Family, Fantasy",1993.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, ","368,946",$75.08M,"https://m.media-amazon.com/images/M/MV5BNWE4OTNiM2ItMjY4Ni00ZTViLWFiZmEtZGEyNGY2ZmNlMzIyXkEyXkFqcGdeQXVyMDU5NDcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']","['Animation', 'Family', 'Fantasy']",0.8354430379746837,0.3787878787878788
Deck the Halls,PG,93.0,5.0,28.0,"Comedy, Family",2006.0,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis, ","32,250",$35.09M,"https://m.media-amazon.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Matthew Broderick', 'Danny DeVito', 'Kristin Chenoweth', 'Kristin Davis']","['Comedy', 'Family']",0.4683544303797469,0.46464646464646464
Best. Christmas. Ever!,TV-PG,82.0,4.4,34.0,"Comedy, Romance",2023.0,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño, ","8,063",,"https://m.media-amazon.com/images/M/MV5BNWQyMzU1NGUtYjU3Ny00MTVkLTllY2YtNDBjZTIxZjg1NmMyXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Heather Graham', 'Brandy Norwood', 'Jason Biggs', 'Matt Cedeño']","['Comedy', 'Romance']",0.39240506329113933,0.4090909090909091
It's a Wonderful Knife,R,87.0,5.3,52.0,"Comedy, Horror, Mystery",2023.0,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",Tyler MacIntyre,"Jane Widdop, Joel McHale, Justin Long, Jess McLeod, ","3,853",,"https://m.media-amazon.com/images/M/MV5BMWM0YjM0ZWMtNzIxYy00MGVhLWE0ZTYtNjQzNjNlMmE0MzNkXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY209_CR1,0,140,209_AL_.jpg",Movie,"['Jane Widdop', 'Joel McHale', 'Justin Long', 'Jess McLeod']","['Comedy', 'Horror', 'Mystery']",0.5063291139240507,0.43434343434343436
A Christmas Story Christmas,PG,98.0,6.7,55.0,"Comedy, Family",2022.0,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne, ","17,394",,"https://m.media-amazon.com/images/M/MV5BMjliZjM5MWMtMzcyYi00Y2ZiLTliOGMtNGNjMjE1YWIwZTkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Movie,"['Peter Billingsley', 'Erinn Hayes', 'River Drosche', 'Julianna Layne']","['Comedy', 'Family']",0.6835443037974684,0.4898989898989899
Santa's Slay,R,78.0,5.3,,"Comedy, Fantasy, Horror",2005.0,"Santa Claus is actually a demon who lost a bet with an angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp, ","11,044",,"https://m.media-amazon.com/images/M/MV5BMTU1NTY0MzMyMl5BMl5BanBnXkFtZTcwNzU0OTEzMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg",Movie,"['Bill Goldberg', 'Douglas Smith', 'Emilie de Ravin', 'Robert Culp']","['Comedy', 'Fantasy', 'Horror']",0.5063291139240507,0.3888888888888889
Rudolph the Red-Nosed Reindeer,TV-G,47.0,8.0,,"Animation, Adventure, Comedy",1964.0,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles, ","36,467",,"https://m.media-amazon.com/images/M/MV5BYjdjZjkyYjUtOWJiZC00ZTE2LTk4MDktZjliOTk5ZDk5ZTZhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR3,0,140,209_AL_.jpg",Movie,"['Billie Mae Richards', 'Burl Ives', 'Larry D. Mann', 'Paul Soles']","['Animation', 'Adventure', 'Comedy']",0.8481012658227849,0.23232323232323232
How the Grinch Stole Christmas!,Not Rated,26.0,8.3,,"Animation, Comedy, Family",1966.0,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,"Ben Washam, Boris Karloff, June Foray, Dal McKennon, ","57,368",,"https://m.media-amazon.com/images/M/MV5BODE3NTQzMWEtYTVkZS00YjNlLTg0ZGQtMDdmYzYyMmVlNWQ2XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['Ben Washam', 'Boris Karloff', 'June Foray', 'Dal McKennon']","['Animation', 'Comedy', 'Family']",0.8860759493670888,0.12626262626262627
The Naughty Nine,TV-PG,83.0,5.2,,"Adventure, Comedy, Crime",2023.0,"When Andy finds out he's on Santa's ""naughty list,"" he pulls together a group of ""naughty list"" kids to get the presents they think they deserve.",Alberto Belli,"Winslow Fegley, Deric McCabe, Derek Theler, Danny Glover, ","1,527",,"https://m.media-amazon.com/images/M/MV5BZmRjNWFlYWYtYjViNC00NTU0LTllZjUtYjBjZWQzNmJmYjliXkEyXkFqcGdeQXVyMjgzMzUxNA@@._V1_UY209_CR13,0,140,209_AL_.jpg",Movie,"['Winslow Fegley', 'Deric McCabe', 'Derek Theler', 'Danny Glover']","['Adventure', 'Comedy', 'Crime']",0.49367088607594944,0.41414141414141414
A Christmas Carol,PG,100.0,7.8,,"Drama, Family, Fantasy",1984.0,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Clive Donner,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward, ","17,502",,"https://m.media-amazon.com/images/M/MV5BMmRjZGUyMzYtMjMyYy00ZTFkLWEyZjktYjA5NjY4MjgzZTcxXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Movie,"['George C. Scott', 'Frank Finlay', 'Angela Pleasence', 'Edward Woodward']","['Drama', 'Family', 'Fantasy']",0.8227848101265823,0.5
